epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9458,2.7753,4.90496,2.08895,0.00204,0.57895,0.08604,0.01242,2.30546,5.11429,1.90274,0.00022,0.00022,0.00022
2,79.2997,1.85777,3.8659,1.59658,0.00278,0.78947,0.00523,0.00191,2.05793,4.60677,1.72389,0.000457723,0.000457723,0.000457723
3,120.823,1.82558,3.33453,1.5511,0.00315,0.89474,0.00398,0.00175,1.95971,4.75646,1.52767,0.00069307,0.00069307,0.00069307
4,165.363,1.81415,3.30413,1.46641,0.00315,0.89474,0.00607,0.00226,1.93819,4.54629,1.52629,0.000926041,0.000926041,0.000926041
5,210.194,1.78954,2.98299,1.47846,0.00278,0.78947,0.02118,0.00447,1.82004,4.57314,1.39625,0.00115664,0.00115664,0.00115664
6,244.761,1.72825,2.94939,1.42619,0.54385,0.12834,0.21785,0.06329,1.70566,4.31009,1.5845,0.00138485,0.00138485,0.00138485
7,295.962,1.49359,2.5353,1.31221,0.10767,0.05263,0.13928,0.06331,1.6524,4.35362,1.44962,0.0016107,0.0016107,0.0016107
8,348.739,1.59751,2.55657,1.43102,0.01475,0.57895,0.13611,0.04796,1.74816,4.3762,1.40747,0.00183416,0.00183416,0.00183416
9,395.257,1.59011,2.33364,1.47144,0.54765,0.19301,0.19464,0.10458,1.6123,4.00332,1.36546,0.0019208,0.0019208,0.0019208
10,450.239,1.47781,3.35303,1.34994,0.38,0.36842,0.28578,0.13983,1.70446,3.73075,1.58067,0.0019109,0.0019109,0.0019109
11,513.982,1.54686,2.37376,1.38978,0.40851,0.42105,0.45143,0.24431,1.86116,3.24392,1.67187,0.001901,0.001901,0.001901
12,572.314,1.50251,2.27734,1.32096,0.48812,0.52632,0.52837,0.31342,1.71539,3.27255,1.55261,0.0018911,0.0018911,0.0018911
13,633.962,1.45269,2.20258,1.36421,0.831,0.36842,0.56699,0.2755,1.59926,2.96656,1.50869,0.0018812,0.0018812,0.0018812
14,690.041,1.45514,2.17046,1.34752,0.34615,0.57895,0.47148,0.25289,1.56362,2.86704,1.44223,0.0018713,0.0018713,0.0018713
15,748.013,1.5069,2.05054,1.38832,0.1945,0.31579,0.18176,0.08857,1.51383,3.80716,1.32562,0.0018614,0.0018614,0.0018614
16,805.148,1.42579,1.87851,1.29657,0.55186,0.10526,0.14681,0.08334,1.39684,3.4005,1.32027,0.0018515,0.0018515,0.0018515
17,857.107,1.44087,2.0349,1.38732,0.44718,0.36842,0.31069,0.17729,1.31352,3.12616,1.37598,0.0018416,0.0018416,0.0018416
18,911.429,1.39931,1.78278,1.3299,0.61101,0.41387,0.34763,0.2006,1.31024,2.93004,1.42929,0.0018317,0.0018317,0.0018317
19,967.376,1.378,1.94817,1.30966,0.36544,0.21053,0.22427,0.11943,1.43422,3.01521,1.54013,0.0018218,0.0018218,0.0018218
20,1017.62,1.49581,1.89138,1.44053,0.34812,0.61864,0.414,0.14975,1.56675,2.70529,1.68024,0.0018119,0.0018119,0.0018119
21,1071.32,1.39756,1.86569,1.32226,0.74849,0.63158,0.67821,0.28596,1.50761,2.55054,1.60974,0.001802,0.001802,0.001802
